('Barrie Youngfellow', '/wiki/Barrie_Youngfellow')
('Diana Ross', '/wiki/Diana_Ross')
('Shohreh Aghdashloo', '/wiki/Shohreh_Aghdashloo')
('Barbara Bouchet', '/wiki/Barbara_Bouchet')
('Robin Wright', '/wiki/Robin_Wright')
('Marilyn Maxwell', '/wiki/Marilyn_Maxwell')
('Lara Jill Miller', '/wiki/Lara_Jill_Miller')
('Beth Riesgraf', '/wiki/Beth_Riesgraf')
('Jenna Boyd', '/wiki/Jenna_Boyd')
('Moira Kelly', '/wiki/Moira_Kelly')
('Jessica Cauffiel', '/wiki/Jessica_Cauffiel')
('Ashley Johnson (actress)', '/wiki/Ashley_Johnson_(actress)')
('Riki Lindhome', '/wiki/Riki_Lindhome')
('Eve Plumb', '/wiki/Eve_Plumb')
('Rachel Weisz', '/wiki/Rachel_Weisz')
('Odeya Rush', '/wiki/Odeya_Rush')
('Hilary Duff', '/wiki/Hilary_Duff')
('Kristina Anapau', '/wiki/Kristina_Anapau')
('Anne Revere', '/wiki/Anne_Revere')
('Danielle Campbell', '/wiki/Danielle_Campbell')
('Nancy Walker', '/wiki/Nancy_Walker')
('Fran Drescher', '/wiki/Fran_Drescher')
('Lauri Hendler', '/wiki/Lauri_Hendler')
('Alexie Gilmore', '/wiki/Alexie_Gilmore')
('Taraji P. Henson', '/wiki/Taraji_P._Henson')
('Chloë Sevigny', '/wiki/Chlo%C3%AB_Sevigny')
("Barbara O'Neil", '/wiki/Barbara_O%27Neil')('Anitra Ford', '/wiki/Anitra_Ford')
('Rebecca Schull', '/wiki/Rebecca_Schull')
('Ana Alicia', '/wiki/Ana_Alicia')
('Carol Wayne', '/wiki/Carol_Wayne')
('Amy Sedaris', '/wiki/Amy_Sedaris')
('Tawny Cypress', '/wiki/Tawny_Cypress')
('Judy Garland', '/wiki/Judy_Garland')
('Eva Marie Saint', '/wiki/Eva_Marie_Saint')
('Kristine Sutherland', '/wiki/Kristine_Sutherland')
('Kerry Bishé', '/wiki/Kerry_Bish%C3%A9')
('Linda Harrison (actress)', '/wiki/Linda_Harrison_(actress)')
('Laura San Giacomo', '/wiki/Laura_San_Giacomo')
('Amy Madigan', '/wiki/Amy_Madigan')
('Sarah Wayne Callies', '/wiki/Sarah_Wayne_Callies')
('Kate Capshaw', '/wiki/Kate_Capshaw')
('Ava Gardner', '/wiki/Ava_Gardner')
('Martha Raye', '/wiki/Martha_Raye')
('Gloria Votsis', '/wiki/Gloria_Votsis')
('Naya Rivera', '/wiki/Naya_Rivera')
('Laverne Cox', '/wiki/Laverne_Cox')
('Soleil Moon Frye', '/wiki/Soleil_Moon_Frye')
('Barbara Hancock', '/wiki/Barbara_Hancock')
('Emma Stone', '/wiki/Emma_Stone')
('Randi Oakes', '/wiki/Randi_Oakes')
('Gloria Stuart', '/wiki/Gloria_Stuart')
('Marilu Henner', '/wiki/Marilu_Henner')
('Felicia Day', '/wiki/Felicia_Day')
('Amy Schumer', '/wiki/Amy_Schumer')
('Stefanie Scott', '/wiki/Stefanie_Scott')
('Tracey Gold', '/wiki/Tracey_Gold')
('Aline MacMahon', '/wiki/Aline_MacMahon')
('Alyson Stoner', '/wiki/Alyson_Stoner')
('Margaret Qualley', '/wiki/Margaret_Qualley')
('Vinessa Shaw', '/wiki/Vinessa_Shaw')
('Julianna Margulies', '/wiki/Julianna_Margulies')
('Kate Upton', '/wiki/Kate_Upton')
('Lucille Bremer', '/wiki/Lucille_Bremer')
('Kate Jackson', '/wiki/Kate_Jackson')
('Brea Grant', '/wiki/Brea_Grant')
('Patricia Blair', '/wiki/Patricia_Blair')
('Mercedes Ruehl', '/wiki/Mercedes_Ruehl')
('Dolly Parton', '/wiki/Dolly_Parton')
('Eliza Dushku', '/wiki/Eliza_Dushku')
('Phyllis Somerville', '/wiki/Phyllis_Somerville')
('Chelsea Handler', '/wiki/Chelsea_Handler')
('Lilyan Tashman', '/wiki/Lilyan_Tashman')
('Melinda McGraw', '/wiki/Melinda_McGraw')
('Cristin Milioti', '/wiki/Cristin_Milioti')
('Nicole DeHuff', '/wiki/Nicole_DeHuff')
('Mara Wilson', '/wiki/Mara_Wilson')
('Bridget Everett', '/wiki/Bridget_Everett')
('LaTanya Richardson', '/wiki/LaTanya_Richardson')
('Nancy Olson', '/wiki/Nancy_Olson')
('Jasmine Guy', '/wiki/Jasmine_Guy')
('Dixie Carter', '/wiki/Dixie_Carter')
('Isabela Moner', '/wiki/Isabela_Moner')
('Mary-Kate Olsen', '/wiki/Mary-Kate_Olsen')
('Lark Voorhies', '/wiki/Lark_Voorhies')
('Holliston Coleman', '/wiki/Holliston_Coleman')
('Elaine May', '/wiki/Elaine_May')
('Jaime King', '/wiki/Jaime_King')
('Ashley Bell (actress)', '/wiki/Ashley_Bell_(actress)')
('Mary Beth Hurt', '/wiki/Mary_Beth_Hurt')
('June Lang', '/wiki/June_Lang')
('Jaime Pressly', '/wiki/Jaime_Pressly')
('Kelli Williams', '/wiki/Kelli_Williams')
('Alice Ghostley', '/wiki/Alice_Ghostley')
('Bridgette Wilson', '/wiki/Bridgette_Wilson')
('Tisha Campbell', '/wiki/Tisha_Campbell')
('Renée Zellweger', '/wiki/Ren%C3%A9e_Zellweger')
('Jennifer Garner', '/wiki/Jennifer_Garner')
('Kathryn Harrold', '/wiki/Kathryn_Harrold')
('Anna Chlumsky', '/wiki/Anna_Chlumsky')
('Judi Evans', '/wiki/Judi_Evans')
('Skai Jackson', '/wiki/Skai_Jackson')
('Emily Osment', '/wiki/Emily_Osment')
('Judy Landers', '/wiki/Judy_Landers')
('Sasha Lane', '/wiki/Sasha_Lane')
('Terry Farrell (actress)', '/wiki/Terry_Farrell_(actress)')
('Cynthia Rhodes', '/wiki/Cynthia_Rhodes')
('Ione Skye', '/wiki/Ione_Skye')
('Amandla Stenberg', '/wiki/Amandla_Stenberg')
('Rosanna Arquette', '/wiki/Rosanna_Arquette')
('Rachel True', '/wiki/Rachel_True')
('Joanna Kerns', '/wiki/Joanna_Kerns')
('Aimee Garcia', '/wiki/Aimee_Garcia')
('Beth Behrs', '/wiki/Beth_Behrs')
('Anne Baxter', '/wiki/Anne_Baxter')
('Evelyn Young', '/wiki/Evelyn_Young')
('Dorothy Lyman', '/wiki/Dorothy_Lyman')
('María Conchita Alonso', '/wiki/Mar%C3%ADa_Conchita_Alonso')
('Kiersten Warren', '/wiki/Kiersten_Warren')
('Maia Campbell', '/wiki/Maia_Campbell')
('Jade Pettyjohn', '/wiki/Jade_Pettyjohn')
('Jillian Armenante', '/wiki/Jillian_Armenante')
('Jessica Harper', '/wiki/Jessica_Harper')
('Laura Marano', '/wiki/Laura_Marano')
('Jennifer Warren', '/wiki/Jennifer_Warren')
('Vanessa Ferlito', '/wiki/Vanessa_Ferlito')
('Gloria DeHaven', '/wiki/Gloria_DeHaven')
('Karen Valentine', '/wiki/Karen_Valentine')
('Crystal Bernard', '/wiki/Crystal_Bernard')
('Bonita Granville', '/wiki/Bonita_Granville')
('Jean Arthur', '/wiki/Jean_Arthur')
('Justina Machado', '/wiki/Justina_Machado')
('Bethany Joy Lenz', '/wiki/Bethany_Joy_Lenz')
('Amy Carlson', '/wiki/Amy_Carlson')
('Elena Kampouris', '/wiki/Elena_Kampouris')
('Greta Gerwig', '/wiki/Greta_Gerwig')
('Jocelin Donahue', '/wiki/Jocelin_Donahue')
('Lindsay Wagner', '/wiki/Lindsay_Wagner')
('Natalie Martinez', '/wiki/Natalie_Martinez')
("Caroline D'Amore", '/wiki/Caroline_D%27Amore')('Jaqueline Fleming', '/wiki/Jaqueline_Fleming')
('Rhea Perlman', '/wiki/Rhea_Perlman')
('Ruth Gordon', '/wiki/Ruth_Gordon')
("Margaret O'Brien", '/wiki/Margaret_O%27Brien')('Ann Flood', '/wiki/Ann_Flood')
('Samantha Mathis', '/wiki/Samantha_Mathis')
('Lori Loughlin', '/wiki/Lori_Loughlin')
('Countess Vaughn', '/wiki/Countess_Vaughn')
('Anne Heche', '/wiki/Anne_Heche')
('Maggie Siff', '/wiki/Maggie_Siff')
('Jane Fonda', '/wiki/Jane_Fonda')
('Rebecca Schaeffer', '/wiki/Rebecca_Schaeffer')
('Monique Coleman', '/wiki/Monique_Coleman')
('Suzy Amis', '/wiki/Suzy_Amis')
('Millie Perkins', '/wiki/Millie_Perkins')
('Irish McCalla', '/wiki/Irish_McCalla')
('Julie Harris', '/wiki/Julie_Harris')
('Imogene Coca', '/wiki/Imogene_Coca')
('Laura Ramsey', '/wiki/Laura_Ramsey')
('Leila Arcieri', '/wiki/Leila_Arcieri')
('Melody Anderson', '/wiki/Melody_Anderson')
('Carey Lowell', '/wiki/Carey_Lowell')
('Carmen Electra', '/wiki/Carmen_Electra')
('Barbara Nichols', '/wiki/Barbara_Nichols')
('Thalia Tran', '/wiki/Thalia_Tran')
('Nia Long', '/wiki/Nia_Long')
('Teri Hatcher', '/wiki/Teri_Hatcher')
('Lily Tomlin', '/wiki/Lily_Tomlin')
('Meg Foster', '/wiki/Meg_Foster')
('Madge Evans', '/wiki/Madge_Evans')
('Drea de Matteo', '/wiki/Drea_de_Matteo')
("Patti D'Arbanville", '/wiki/Patti_D%27Arbanville')('Nancy Travis', '/wiki/Nancy_Travis')
('Paula Prentiss', '/wiki/Paula_Prentiss')
('Norma Crane', '/wiki/Norma_Crane')
('Linda Darnell', '/wiki/Linda_Darnell')
('Angie Dickinson', '/wiki/Angie_Dickinson')
('Rochelle Aytes', '/wiki/Rochelle_Aytes')
('Christine Lahti', '/wiki/Christine_Lahti')
('Jill St. John', '/wiki/Jill_St._John')
('Ann Wedgeworth', '/wiki/Ann_Wedgeworth')
('Patricia Wettig', '/wiki/Patricia_Wettig')
('Chip Fields', '/wiki/Chip_Fields')
('Julia Sweeney', '/wiki/Julia_Sweeney')
('Danielle Spencer (American actress)', '/wiki/Danielle_Spencer_(American_actress)')
('Morgan Lily', '/wiki/Morgan_Lily')
('Sue Lyon', '/wiki/Sue_Lyon')
('Eva Longoria', '/wiki/Eva_Longoria')
('Catherine Burns', '/wiki/Catherine_Burns')
('Heather Langenkamp', '/wiki/Heather_Langenkamp')
('Jodie Sweetin', '/wiki/Jodie_Sweetin')
('Kimberly Williams-Paisley', '/wiki/Kimberly_Williams-Paisley')
('Thelma Ritter', '/wiki/Thelma_Ritter')
('Bette Davis', '/wiki/Bette_Davis')
('Susan Sarandon', '/wiki/Susan_Sarandon')
('Polly Holliday', '/wiki/Polly_Holliday')
('Jane Darwell', '/wiki/Jane_Darwell')
('Veronica Cartwright', '/wiki/Veronica_Cartwright')
('Selena Gomez', '/wiki/Selena_Gomez')
('Judith Light', '/wiki/Judith_Light')
('YaYa Gosselin', '/wiki/YaYa_Gosselin')
('Jessica Lange', '/wiki/Jessica_Lange')
('Kim Dickens', '/wiki/Kim_Dickens')
('Kim Rhodes', '/wiki/Kim_Rhodes')
('Olivia Brown', '/wiki/Olivia_Brown')
('Nanette Fabray', '/wiki/Nanette_Fabray')
('Solange Knowles', '/wiki/Solange_Knowles')
('Irene Dunne', '/wiki/Irene_Dunne')
('Ann Morgan Guilbert', '/wiki/Ann_Morgan_Guilbert')
('Laura Harring', '/wiki/Laura_Harring')
('Laura Innes', '/wiki/Laura_Innes')
('Harriet Sansom Harris', '/wiki/Harriet_Sansom_Harris')
('Cristina Vee', '/wiki/Cristina_Vee')
('Erica Gavin', '/wiki/Erica_Gavin')
('Esther Ralston', '/wiki/Esther_Ralston')
('Ally Walker', '/wiki/Ally_Walker')
('Lisa Ann Walter', '/wiki/Lisa_Ann_Walter')
('Jane Webb', '/wiki/Jane_Webb')
('Helen Hunt', '/wiki/Helen_Hunt')
('Cameron Diaz', '/wiki/Cameron_Diaz')
('Scarlett Johansson', '/wiki/Scarlett_Johansson')
('Marguerite Churchill', '/wiki/Marguerite_Churchill')
('Lynn Cohen', '/wiki/Lynn_Cohen')
('Grey DeLisle', '/wiki/Grey_DeLisle')
('Lola Falana', '/wiki/Lola_Falana')
('Kristin Chenoweth', '/wiki/Kristin_Chenoweth')
('Mindy Cohn', '/wiki/Mindy_Cohn')
('Jennifer Ehle', '/wiki/Jennifer_Ehle')
('Lisa Hartman Black', '/wiki/Lisa_Hartman_Black')
('Brianna Hildebrand', '/wiki/Brianna_Hildebrand')
('Joanna Barnes', '/wiki/Joanna_Barnes')
('Grace Gummer', '/wiki/Grace_Gummer')
('Julia Louis-Dreyfus', '/wiki/Julia_Louis-Dreyfus')
('Louise Dresser', '/wiki/Louise_Dresser')
('Katy Mixon', '/wiki/Katy_Mixon')
('Elisa Donovan', '/wiki/Elisa_Donovan')
('Danica McKellar', '/wiki/Danica_McKellar')
('Zoë Kravitz', '/wiki/Zo%C3%AB_Kravitz')
('Natasha Lyonne', '/wiki/Natasha_Lyonne')
('Mildred Dunnock', '/wiki/Mildred_Dunnock')
('Fiona Dourif', '/wiki/Fiona_Dourif')
('Diane Baker', '/wiki/Diane_Baker')
('Melissa Gilbert', '/wiki/Melissa_Gilbert')
('Robin Givens', '/wiki/Robin_Givens')
('Eartha Kitt', '/wiki/Eartha_Kitt')
('Linda Manz', '/wiki/Linda_Manz')
('Belita Moreno', '/wiki/Belita_Moreno')
('Beth Ostrosky', '/wiki/Beth_Ostrosky')
('Zendaya', '/wiki/Zendaya')
('Tembi Locke', '/wiki/Tembi_Locke')
('Paula Abdul', '/wiki/Paula_Abdul')
('Tracy Vilar', '/wiki/Tracy_Vilar')
('Joy Bryant', '/wiki/Joy_Bryant')
('Frances Farmer', '/wiki/Frances_Farmer')
('Candace Cameron Bure', '/wiki/Candace_Cameron_Bure')
('Gigi Rice', '/wiki/Gigi_Rice')
('Holly Hunter', '/wiki/Holly_Hunter')
('Sophia Takal', '/wiki/Sophia_Takal')
('Rosario Dawson', '/wiki/Rosario_Dawson')
('Michelle Borth', '/wiki/Michelle_Borth')
('Tura Satana', '/wiki/Tura_Satana')
('Daveigh Chase', '/wiki/Daveigh_Chase')
('Julia Duffy', '/wiki/Julia_Duffy')
('Marceline Day', '/wiki/Marceline_Day')
('Kate Vernon', '/wiki/Kate_Vernon')
('Butterfly McQueen', '/wiki/Butterfly_McQueen')
('Pat Quinn (American actress)', '/wiki/Pat_Quinn_(American_actress)')
('Alfre Woodard', '/wiki/Alfre_Woodard')
('Sydney Tamiia Poitier', '/wiki/Sydney_Tamiia_Poitier')
('Gladys Knight', '/wiki/Gladys_Knight')
('Cara Williams', '/wiki/Cara_Williams')
('Jaimie Alexander', '/wiki/Jaimie_Alexander')
('Cherami Leigh', '/wiki/Cherami_Leigh')
('Monique Van Vooren', '/wiki/Monique_Van_Vooren')
('Viola Davis', '/wiki/Viola_Davis')
('Yaya DaCosta', '/wiki/Yaya_DaCosta')
('Moon Bloodgood', '/wiki/Moon_Bloodgood')
('Kim Delaney', '/wiki/Kim_Delaney')
('Kay Francis', '/wiki/Kay_Francis')
('Nita Naldi', '/wiki/Nita_Naldi')
('Julie London', '/wiki/Julie_London')
('Ellen Barkin', '/wiki/Ellen_Barkin')
('Kayla Ewell', '/wiki/Kayla_Ewell')
('Kirsten Dunst', '/wiki/Kirsten_Dunst')
('Carly Schroeder', '/wiki/Carly_Schroeder')
('Nadine Velazquez', '/wiki/Nadine_Velazquez')
('Cloris Leachman', '/wiki/Cloris_Leachman')
('Danielle Panabaker', '/wiki/Danielle_Panabaker')
('Erykah Badu', '/wiki/Erykah_Badu')
('Ruth Hussey', '/wiki/Ruth_Hussey')
('Neva Patterson', '/wiki/Neva_Patterson')
('Barbara Harris (actress)', '/wiki/Barbara_Harris_(actress)')
('Beth Broderick', '/wiki/Beth_Broderick')
('Julie Bovasso', '/wiki/Julie_Bovasso')
('Olivia Luccardi', '/wiki/Olivia_Luccardi')
('Jolene Blalock', '/wiki/Jolene_Blalock')
('Aubrey Plaza', '/wiki/Aubrey_Plaza')
('Beatrice Straight', '/wiki/Beatrice_Straight')
('Mary Badham', '/wiki/Mary_Badham')
('Alyssa Milano', '/wiki/Alyssa_Milano')
('Elizabeth Ashley', '/wiki/Elizabeth_Ashley')
('Kay Medford', '/wiki/Kay_Medford')
('Maria Canals-Barrera', '/wiki/Maria_Canals-Barrera')
('Valerie Bertinelli', '/wiki/Valerie_Bertinelli')
('Stefanie Powers', '/wiki/Stefanie_Powers')
('Bianca Kajlich', '/wiki/Bianca_Kajlich')
('Jane Adams (actress, born 1965)', '/wiki/Jane_Adams_(actress,_born_1965)')
('Olivia Thirlby', '/wiki/Olivia_Thirlby')
('Jessica Stroup', '/wiki/Jessica_Stroup')
('Anne-Marie Johnson', '/wiki/Anne-Marie_Johnson')
('Keisha Knight-Pulliam', '/wiki/Keisha_Knight-Pulliam')
('Mary Steenburgen', '/wiki/Mary_Steenburgen')
("Shae D'lyn", '/wiki/Shae_D%27lyn')('Lexi Ainsworth', '/wiki/Lexi_Ainsworth')
('Maika Monroe', '/wiki/Maika_Monroe')
('Linda Gray', '/wiki/Linda_Gray')
('Andrea Bowen', '/wiki/Andrea_Bowen')
('Chloe Bridges', '/wiki/Chloe_Bridges')
('Florence Nash', '/wiki/Florence_Nash')
('Sheryl Lee Ralph', '/wiki/Sheryl_Lee_Ralph')
('Doris Roberts', '/wiki/Doris_Roberts')
('Ida Lupino', '/wiki/Ida_Lupino')
('Susan Blakely', '/wiki/Susan_Blakely')
('Alexandra Shipp', '/wiki/Alexandra_Shipp')
('Hilary Swank', '/wiki/Hilary_Swank')
('Jennifer Aniston', '/wiki/Jennifer_Aniston')
('Betsy Russell', '/wiki/Betsy_Russell')
('Barbara Barrie', '/wiki/Barbara_Barrie')
('Anna Faris', '/wiki/Anna_Faris')
('Gina St. John', '/wiki/Gina_St._John')
('Tahnee Welch', '/wiki/Tahnee_Welch')
('Barbara Hale', '/wiki/Barbara_Hale')
('Margo Martindale', '/wiki/Margo_Martindale')
('Emma Caulfield', '/wiki/Emma_Caulfield')
('Joyce MacKenzie', '/wiki/Joyce_MacKenzie')
('Liz Vassey', '/wiki/Liz_Vassey')
('Margaret Sheridan (actress)', '/wiki/Margaret_Sheridan_(actress)')
('Louise Latham', '/wiki/Louise_Latham')
('Deanna Lund', '/wiki/Deanna_Lund')
('Doris Dowling', '/wiki/Doris_Dowling')
('Lauren Cohan', '/wiki/Lauren_Cohan')
('Jean Peters', '/wiki/Jean_Peters')
('Malinda Williams', '/wiki/Malinda_Williams')
('Meg Ryan', '/wiki/Meg_Ryan')
('Billie Lourd', '/wiki/Billie_Lourd')
('Rachel Bilson', '/wiki/Rachel_Bilson')
('Ali Larter', '/wiki/Ali_Larter')
('Sheila Kelley (American actress)', '/wiki/Sheila_Kelley_(American_actress)')
('Sally Kirkland', '/wiki/Sally_Kirkland')
('Marianne Hagan', '/wiki/Marianne_Hagan')
('Kristy McNichol', '/wiki/Kristy_McNichol')
('Anika Noni Rose', '/wiki/Anika_Noni_Rose')
('Madeleine Stowe', '/wiki/Madeleine_Stowe')
('Lisa Zane', '/wiki/Lisa_Zane')
('Laurie Holden', '/wiki/Laurie_Holden')
('Sofia Vergara', '/wiki/Sofia_Vergara')
('Katherine Heigl', '/wiki/Katherine_Heigl')
('Isabelle Fuhrman', '/wiki/Isabelle_Fuhrman')
('Kate Mulgrew', '/wiki/Kate_Mulgrew')
('Wendy Raquel Robinson', '/wiki/Wendy_Raquel_Robinson')
('Una Merkel', '/wiki/Una_Merkel')
('Julie Bowen', '/wiki/Julie_Bowen')
('Barbara Carrera', '/wiki/Barbara_Carrera')
('Jennifer Dundas', '/wiki/Jennifer_Dundas')
('Joan Van Ark', '/wiki/Joan_Van_Ark')
('Lesley Ann Warren', '/wiki/Lesley_Ann_Warren')
('Allison Scagliotti', '/wiki/Allison_Scagliotti')
('Cecily Strong', '/wiki/Cecily_Strong')
('Quinn Cummings', '/wiki/Quinn_Cummings')
('Tuesday Weld', '/wiki/Tuesday_Weld')
('Jayne Mansfield', '/wiki/Jayne_Mansfield')
('Nikki Cox', '/wiki/Nikki_Cox')
('Geena Davis', '/wiki/Geena_Davis')
('Florence Bates', '/wiki/Florence_Bates')
('Kelli Garner', '/wiki/Kelli_Garner')
('Madonna (entertainer)', '/wiki/Madonna_(entertainer)')
('Eva Mendes', '/wiki/Eva_Mendes')
('Kim Johnston Ulrich', '/wiki/Kim_Johnston_Ulrich')
('Tia Mowry', '/wiki/Tia_Mowry')
('Sarah Clarke', '/wiki/Sarah_Clarke')
('Christina Pickles', '/wiki/Christina_Pickles')
('Lauren London', '/wiki/Lauren_London')
('Candy Clark', '/wiki/Candy_Clark')
('Rosemarie DeWitt', '/wiki/Rosemarie_DeWitt')
('Kat Dennings', '/wiki/Kat_Dennings')
('Pamela Reed', '/wiki/Pamela_Reed')
('Liza Weil', '/wiki/Liza_Weil')
("Tricia O'Kelley", '/wiki/Tricia_O%27Kelley')('Alice Brady', '/wiki/Alice_Brady')
('Vanessa Marano', '/wiki/Vanessa_Marano')
('Stephanie Zimbalist', '/wiki/Stephanie_Zimbalist')
('Queen Latifah', '/wiki/Queen_Latifah')
('Mary Beth Peil', '/wiki/Mary_Beth_Peil')
('Tawny Kitaen', '/wiki/Tawny_Kitaen')
('Marissa Ribisi', '/wiki/Marissa_Ribisi')
('Keri Russell', '/wiki/Keri_Russell')
('Sofia Vassilieva', '/wiki/Sofia_Vassilieva')
('Charlotte Zucker', '/wiki/Charlotte_Zucker')
('Julianne Nicholson', '/wiki/Julianne_Nicholson')
('Myrna Loy', '/wiki/Myrna_Loy')
('Julie Carmen', '/wiki/Julie_Carmen')
('Denise Alexander', '/wiki/Denise_Alexander')
('Nancy Walters', '/wiki/Nancy_Walters')
('Mia Sara', '/wiki/Mia_Sara')
('Dolores Hart', '/wiki/Dolores_Hart')
('Alyson Reed', '/wiki/Alyson_Reed')
('Emma Roberts', '/wiki/Emma_Roberts')
('Brooke Hogan', '/wiki/Brooke_Hogan')
('Billie Dove', '/wiki/Billie_Dove')
('Natasha Henstridge', '/wiki/Natasha_Henstridge')
('Rainey Qualley', '/wiki/Rainey_Qualley')
('Makenzie Vega', '/wiki/Makenzie_Vega')
('Annie Mumolo', '/wiki/Annie_Mumolo')
('Wendie Malick', '/wiki/Wendie_Malick')
('Verna Bloom', '/wiki/Verna_Bloom')
('Tracy Nelson (actress)', '/wiki/Tracy_Nelson_(actress)')
('Josephine Hull', '/wiki/Josephine_Hull')
('Tina Cole', '/wiki/Tina_Cole')
('Lynn Whitfield', '/wiki/Lynn_Whitfield')
('Linda Evans', '/wiki/Linda_Evans')
('Debbie Reynolds', '/wiki/Debbie_Reynolds')
('Alicia Leigh Willis', '/wiki/Alicia_Leigh_Willis')
('Minka Kelly', '/wiki/Minka_Kelly')
('Betty Garrett', '/wiki/Betty_Garrett')
('Blanchard Ryan', '/wiki/Blanchard_Ryan')
('Bonnie Bartlett', '/wiki/Bonnie_Bartlett')
('Joanne Dru', '/wiki/Joanne_Dru')
('Mariann Aalda', '/wiki/Mariann_Aalda')
('June Lockhart', '/wiki/June_Lockhart')
('Faune Chambers', '/wiki/Faune_Chambers')
('Margaret Hamilton (actress)', '/wiki/Margaret_Hamilton_(actress)')
('Janet Gaynor', '/wiki/Janet_Gaynor')
('Raquel Welch', '/wiki/Raquel_Welch')
('Dana Wheeler-Nicholson', '/wiki/Dana_Wheeler-Nicholson')
('Kristen Wilson', '/wiki/Kristen_Wilson')
('Rita Wilson', '/wiki/Rita_Wilson')
('Christine Baranski', '/wiki/Christine_Baranski')
('Molly Cheek', '/wiki/Molly_Cheek')
('Vanessa Lee Chester', '/wiki/Vanessa_Lee_Chester')
('Cody Horn', '/wiki/Cody_Horn')
('Ruth White (actress)', '/wiki/Ruth_White_(actress)')
('Christina Milian', '/wiki/Christina_Milian')
('Jillian Bell', '/wiki/Jillian_Bell')
('Tara Reid', '/wiki/Tara_Reid')
('Joan Blondell', '/wiki/Joan_Blondell')
('Haviland Morris', '/wiki/Haviland_Morris')
('Kathryn Morris', '/wiki/Kathryn_Morris')
('Kristin Cavallari', '/wiki/Kristin_Cavallari')
('Caitlin Wachs', '/wiki/Caitlin_Wachs')
('Anna Gunn', '/wiki/Anna_Gunn')
('Dolores Costello', '/wiki/Dolores_Costello')
('Virginia Mayo', '/wiki/Virginia_Mayo')
('LeAnn Rimes', '/wiki/LeAnn_Rimes')
('Elizabeth Peña', '/wiki/Elizabeth_Pe%C3%B1a')
('Marjorie Main', '/wiki/Marjorie_Main')
('Kenya Moore', '/wiki/Kenya_Moore')
('Teri Garr', '/wiki/Teri_Garr')
('Patti Deutsch', '/wiki/Patti_Deutsch')
('Sheree North', '/wiki/Sheree_North')
('Jessica Tuck', '/wiki/Jessica_Tuck')
('Mae West', '/wiki/Mae_West')
('Katie Holmes', '/wiki/Katie_Holmes')
('Kerri Green', '/wiki/Kerri_Green')
('Grace Zabriskie', '/wiki/Grace_Zabriskie')
('Felice Schachter', '/wiki/Felice_Schachter')
('Kathy Baker', '/wiki/Kathy_Baker')
('Jennie Garth', '/wiki/Jennie_Garth')
('Jamie Chung', '/wiki/Jamie_Chung')
('Michaela Conlin', '/wiki/Michaela_Conlin')
('Shera Danese', '/wiki/Shera_Danese')
('Sara Ramirez', '/wiki/Sara_Ramirez')
('Jenna Dewan', '/wiki/Jenna_Dewan')
('Rachel Miner', '/wiki/Rachel_Miner')
('Kristen Bell', '/wiki/Kristen_Bell')
('Jennifer Beals', '/wiki/Jennifer_Beals')
('Yeardley Smith', '/wiki/Yeardley_Smith')
('Alicia Silverstone', '/wiki/Alicia_Silverstone')
('Katharine McPhee', '/wiki/Katharine_McPhee')
('Kelly Sullivan (actress)', '/wiki/Kelly_Sullivan_(actress)')
('Meredith Hagner', '/wiki/Meredith_Hagner')
('Lorna Luft', '/wiki/Lorna_Luft')
("Sofia Black-D'Elia", '/wiki/Sofia_Black-D%27Elia')('Miranda Cosgrove', '/wiki/Miranda_Cosgrove')
('Deborah Harry', '/wiki/Deborah_Harry')
('Jacqueline Obradors', '/wiki/Jacqueline_Obradors')
('Louise Brooks', '/wiki/Louise_Brooks')
('Audrey Landers', '/wiki/Audrey_Landers')
('Dana Delany', '/wiki/Dana_Delany')
('Michelle Rodriguez', '/wiki/Michelle_Rodriguez')
('Eve Arden', '/wiki/Eve_Arden')
('Amber Benson', '/wiki/Amber_Benson')
('Lynn Carlin', '/wiki/Lynn_Carlin')
('Joan Crawford', '/wiki/Joan_Crawford')
('Angela Bassett', '/wiki/Angela_Bassett')
('Teri Polo', '/wiki/Teri_Polo')
('Bessie Love', '/wiki/Bessie_Love')
('Lauren Vélez', '/wiki/Lauren_V%C3%A9lez')
('Tina Fey', '/wiki/Tina_Fey')
('Zasu Pitts', '/wiki/Zasu_Pitts')
('Charisma Carpenter', '/wiki/Charisma_Carpenter')
('Bai Ling', '/wiki/Bai_Ling')
('Farrah Fawcett', '/wiki/Farrah_Fawcett')
('Tatyana Ali', '/wiki/Tatyana_Ali')
('Ethel Barrymore', '/wiki/Ethel_Barrymore')
('Joanna Cassidy', '/wiki/Joanna_Cassidy')
('Hope Lange', '/wiki/Hope_Lange')
('Brittany Snow', '/wiki/Brittany_Snow')
('Marsha Mason', '/wiki/Marsha_Mason')
('Priscilla Pointer', '/wiki/Priscilla_Pointer')
('Lizabeth Scott', '/wiki/Lizabeth_Scott')
('Sasha Alexander', '/wiki/Sasha_Alexander')
('Dakota Fanning', '/wiki/Dakota_Fanning')
('Rose Abdoo', '/wiki/Rose_Abdoo')
('Alexandra Holden', '/wiki/Alexandra_Holden')
('Rose Rollins', '/wiki/Rose_Rollins')
('Barbara Stanwyck', '/wiki/Barbara_Stanwyck')
('Nora Zehetner', '/wiki/Nora_Zehetner')
('Beth Grant', '/wiki/Beth_Grant')
('Abbey Lincoln', '/wiki/Abbey_Lincoln')
